tactic,level,host_about,text_length,ouverture,authenticité,sociabilité,auto_promotion,exemplarité
ouverture,high,"Hi! I'm Tijana. I am an IT engineer from Serbia who loves to meet new people and learn about different cultures. Traveling the world is my dream and my to-visit list is always growing. To me, Airbnb is one of the best ways to travel—you can make friends, share life stories, and meet again in different parts of the world. :)

I manage our own centrally located apartments in London. Our goal is for you to have an unforgettable experience here, with exceptional service that leaves you wanting for nothing. One of our greeters will meet you in the apartment to assist you and answer any questions you may have about your trip.

I look forward to hearing from you!",120,1.4065237017309855,-0.3613969221503608,0.881021772550573,1.1821949548903323,2.5476727736397624
ouverture,low,Je suis ostéopathe exclusive. Je vis dans mon immeuble depuis ma naissance. J'aime énormément mon quartier et ma ville.,19,-1.7602000012649994,0.4888002080931775,-1.7092053946348176,-0.2412690702456821,-0.5573296713229465
authenticité,high,I am an Italian photographer living in Paris since 15 years. I have a beautiful 5 years old daughter and we love to travel. ,24,0.8196229982192563,1.2829333196578534,-0.176734046134302,-0.5492328118854368,-0.6875578818565616
authenticité,low,"Greetings from the Veeve team!


Veeve manage the largest collection of homes to rent for short stays in London since 2011, launching in Paris in 2017. Our rental homes are predominantly privately-owned, lived-in homes in vibrant neighbourhoods. Thanks to our fully managed service, when you stay in a Veeve property you can benefit from the spaciousness, personal style and relaxed feel of a home – but with all the amenities of a hotel.


Once a booking is confirmed our Customer Service team will become your main point of contact and get in touch with you to organise your arrival at the property (including airport transfers, upon request); after which our on-the-ground management team will look after all aspects of your stay, with in-stay support available to help with any queries.


We have strict cleanliness guidelines for our cleaners and all staff who enter our properties and have reinforced existing cleaning procedures in line with official WHO, British and French government guidance.


As always, our team ensure that all properties are cleaned to a professional standard before and after each stay, with increased focus on touch-point cleaning (door handles, kitchen surfaces, kettles, taps etc.).

 All staff who enter properties will follow the below procedures:
 

- Carry and regularly use alcohol-based hand rub
- Sanitise their mobile phones 
- Focus extra attention when cleaning key touch-point areas (door handles, kitchen surfaces, kettles, taps etc.)
- Wear protective gear where appropriate
- Wash and disinfect work shoes


We might be able to arrange for property viewings, upon request, for stays of over 28 nights. 

Please be aware once a booking is confirmed you will be required to complete a Rental Agreement and also  ID verification via our partners Superhog. This is mandatory for all our stays and in accordance to short lets requirements with Veeve.

If you have any questions, please do not hesitate to contact us and we will be sure to answer you promptly.",323,-0.8773631891171051,-1.68538460651849,-1.2545714380695134,1.4114318206642154,-0.5269138694295034
sociabilité,high,"Hello, 

Je suis Ben et je suis originaire de Bruxelles en Belgique :) Après pas mal d'années dans ma ville d'origine, je suis arrivé à Paris et découvert le charme de la ville lumière. J'adore voyager autour du monde et bien entendu la gastronomie et les verres avec les amis. J'ai hâte de vous rencontrer et de vous faire découvrir notre appartement :)",63,1.066607832175754,0.9413919683689552,1.2802006315206662,-0.1547105441837554,-0.1350896769561646
sociabilité,low,"Spanish Nurse, settled in Paris for more than 10 years now, passionate for life I love dance and Yoga. ",19,0.6479551387554183,0.8097448172778743,-1.6297357289979928,-0.6595363101158989,-0.7417615470895595
auto_promotion,high,"From North London. Like to visit and travel, and now trying to repay the hospitality by hosting. Very easy going and accommodating host. If there's anything you need, ask and I'll do my best.",34,0.5132038133777252,0.1406066512503227,0.9997042830816376,1.6265514994120949,-0.0348959563900454
auto_promotion,low,I own my Estate Agency known as Link Up Estate Agency Ltd established in 2003. ,15,-1.5832337867369084,-1.4219450825208857,-1.8748196189491533,-1.4423218503918755,-0.6670112639252309
exemplarité,high,"Bonjour !
Je m'appelle Florian et suis un grand adepte de Airbnb ! Je serai heureux de vous recevoir dans mon appartement.
Lors de mes déplacements, j'adore loger via Airbnb, alors j'ai décidé de sauter le pas et donner l'opportunité à d'autres voyageurs de séjourner chez moi !
Vous vous y sentirez comme chez vous :)
Pour rendre votre séjour encore plus agréable, j'ai confié la gestion de mon bien à une conciergerie Airbnb, qui s'occupe de tout ! C'est avec eux principalement que vous communiquerez, n'hésitez pas à les contacter, ils sont très réactifs !
_________________
Hello!
My name is Florian  and I'm a big fan of Airbnb! I will be happy to welcome you in my apartment.
When I travel, I love to stay with Airbnb, so I decided to take the plunge and give other travelers the opportunity to stay with me!
You will feel at home here :)
To make your stay even more enjoyable, I have entrusted the management of my property to an Airbnb concierge, who takes care of everything! It is mainly with them that you will communicate, do not hesitate to contact them, they are very reactive !",196,-0.5057790013408928,-0.1922500316479142,0.1243614663283796,1.3907722724196228,2.850950978673879
exemplarité,low,"Nous sommes une famille d'architectes, nous aimons voyager et faire de nouvelles rencontres.",13,1.129274614016831,0.1610115412144856,0.4471530702709924,-1.20227838074118,-0.7888965400732499
